2026年8月 シフト表（旅館 山霞）,,,,,,,,,,,
凡例 通=通し / 早=早番6:00-15:00 / 遅=遅番14:00-22:00 / 休=休み / -=勤務日でない,,,,,,,,,,,
日付,曜日,高橋美咲,佐藤健一,山本誠,井上由紀,木村あゆみ,大西陽介,渡辺拓海,中村さくら,小林良子,田村隆,備考
8/1,土,通,通,通,通,遅,早,通,早,-,通,
8/2,日,通,早,通,通,遅,遅,通,早,-,通,
8/3,月,休,通,休,通,遅,早,通,-,遅,通,
8/4,火,通,通,通,休,遅,早,休,-,-,通,
8/5,水,通,早,通,通,休,遅,通,-,遅,休,
8/6,木,通,休,通,通,遅,休,通,-,-,通,
8/7,金,通,通,通,早,遅,早,通,-,遅,通,
8/8,土,通,通,通,通,遅,早,通,早,-,通,
8/9,日,通,早,通,通,遅,遅,通,早,-,通,
8/10,月,通,休,通,早,遅,早,通,-,遅,通,
8/11,火,通,通,通,通,休,早,通,早,-,通,山の日
8/12,水,通,通,通,休,遅,早,休,-,遅,休,
8/13,木,通,早,通,通,遅,休,通,早,-,通,お盆入り
8/14,金,通,通,通,通,遅,早,通,早,遅,通,
8/15,土,通,通,通,通,遅,早,通,早,-,通,中村 最終出勤
8/16,日,通,早,通,通,遅,遅,通,-,-,通,
8/17,月,休,通,休,早,遅,早,通,-,遅,通,
8/18,火,通,通,通,休,遅,早,通,-,-,通,
8/19,水,通,休,通,通,遅,早,休,-,遅,休,佐藤 夏季休暇（〜24日）
8/20,木,通,休,通,通,通,遅,通,-,遅,通,灯籠流し
8/21,金,通,休,通,通,遅,早,通,-,遅,通,
8/22,土,通,休,通,通,遅,早,通,-,-,通,
8/23,日,通,休,通,通,遅,遅,通,-,-,通,
8/24,月,通,休,通,早,遅,早,通,-,遅,通,
8/25,火,通,通,通,休,遅,早,通,-,-,通,
8/26,水,休,早,休,通,休,早,通,-,遅,休,田村 車両点検
8/27,木,通,通,通,通,遅,休,休,-,-,通,
8/28,金,通,通,通,早,遅,早,通,-,遅,通,
8/29,土,通,通,通,通,遅,早,通,-,-,通,
8/30,日,通,早,通,通,遅,遅,通,-,-,通,
8/31,月,通,通,通,早,遅,早,通,-,遅,通,月末締め
