氏名,ふりがな,役職,勤務形態,連絡先,入社年月,備考
高橋 美咲,たかはし みさき,女将,正社員,090-3312-4478,2011年4月,
佐藤 健一,さとう けんいち,番頭・防火管理者,正社員,090-5521-8830,2009年10月,甲種防火管理者（2023年再講習済）
山本 誠,やまもと まこと,調理長,正社員,090-7744-2015,2014年3月,調理師免許・ふぐ処理登録
井上 由紀,いのうえ ゆき,仲居長,正社員,080-2298-6614,2016年7月,
木村 あゆみ,きむら あゆみ,仲居,正社員,080-6607-3392,2021年4月,
大西 陽介,おおにし ようすけ,フロント・予約担当,正社員,090-1180-5527,2019年9月,英語対応可（簡単な受け答え程度）
渡辺 拓海,わたなべ たくみ,調理補助,契約社員,080-3345-9971,2023年2月,
中村 さくら,なかむら さくら,仲居（パート）,パート,080-4412-7708,2022年6月,土日中心
小林 良子,こばやし りょうこ,仲居（パート）,パート,090-8853-1264,2018年11月,平日中心・週3
田村 隆,たむら たかし,施設管理・送迎,パート,090-2276-4409,2017年5月,普通二種免許
